"Accept","Accept"
"Action","Action"
"Action Product","Action Product"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Are you sure?","Are you sure?"
"Conditions","Conditions"
"Create New Rule","Create New Rule"
"Your session has expired, please resubmit data","Your session has expired, please resubmit data"
"Customer Groups","Customer Groups"
"%d auction(s) have been successfully deleted","%d auction(s) have been successfully deleted"
"Decline","Decline"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Discount Amount Applied to Product, %","Discount Amount Applied to Product, %"
"Display option ""Do not show this pop up again""","Display option ""Do not show this pop up again"""
"Do not show message box again","Do not show message box again"
"Edit","Edit"
"Enable Extension","Enable Extension"
"Edit Rule '%s'","Edit Rule '%s'"
"Edit Rule #'%s'","Edit Rule #'%s'"
"Enabled","Enabled"
"End Date and Time","End Date and Time"
"Free Shipping","Free Shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Incorrect rule id","Incorrect rule id"
"Invalid rule ids","Invalid rule ids"
"Manage Rules","Manage Rules"
"Name in Store","Name in Store"
"Name","Name"
"No action product specified","No action product specified"
"No","No"
"NOT LOGGED IN","NOT LOGGED IN"
"Price","Price"
"Priority","Priority"
"Qty","Qty"
"Rule Information","Rule Information"
"Rule Info","Rule Info"
"Rule Name","Rule Name"
"Rules","Rules"
"Rule successfully deleted","Rule successfully deleted"
"Rule successfully saved","Rule successfully saved"
"Rules with greater priority are processed first","Rules with greater priority are processed first"
"Save and Continue Edit","Save and Continue Edit"
"Show Pop Up on adding Item(s) to Cart","Show Pop Up on adding Item(s) to Cart"
"SKU","SKU"
"Start Date and Time","Start Date and Time"
"Status","Status"
"Store View","Store View"
"The following item(s) will be added to your cart","The following item(s) will be added to your cart"
"To Date","To Date"
"Websites","Websites"
"Yes","Yes"
"Allow to re-add free product if it was deleted from cart","Allow to re-add free product if it was deleted from cart"
"Cookie lifetime","Cookie lifetime"
"Popup","Popup"
"Check items to add to the cart or unselect all","Check items to add to the cart or unselect all"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Free products were added to your shopping cart.","Free products were added to your shopping cart."
"Display option \"Do not show this pop up again\"","Display option \"Do not show this pop up again\""
"%d rule(s) have been successfully updated","%d rule(s) have been successfully updated"
"Invalid status value","Invalid status value"
"%d rule(s) have been successfully deleted","%d rule(s) have been successfully deleted"
"Percent of product price discount","Percent of product price discount"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"Stop Further Rules Processing","Stop Further Rules Processing"
"select all","select all"
"unselect all","unselect all"
"Check items to add to the cart or %s","Check items to add to the cart or %s"
"Unfortunately the quantity of %s can not be changed due to current set of products in the cart","Unfortunately the quantity of %s can not be changed due to current set of products in the cart"
"\"From Date\" field value is not valid datetime format.","\"From Date\" field value is not valid datetime format."
"\"To Date\" field value is not valid datetime format.","\"To Date\" field value is not valid datetime format."
